
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 1.448E-01 3.091E-05 9.764E-05 2.972E-04 2.302E+09 4.128E+06 2.293E+10 9.388E+08
  1.250E+05 1.459E-01 3.091E-05 9.764E-05 2.970E-04 2.330E+09 4.041E+06 2.251E+10 9.388E+08
  2.250E+05 1.749E-01 3.091E-05 9.764E-05 3.039E-04 2.245E+09 3.697E+06 1.861E+10 9.388E+08
  3.250E+05 2.130E-01 3.091E-05 9.764E-05 3.098E-04 2.186E+09 3.362E+06 1.511E+10 9.388E+08
  4.250E+05 2.521E-01 3.091E-05 9.764E-05 3.147E-04 2.147E+09 3.163E+06 1.259E+10 9.388E+08
  5.250E+05 2.940E-01 3.091E-05 9.764E-05 3.199E-04 2.112E+09 3.241E+06 1.063E+10 9.388E+08
  6.250E+05 3.444E-01 3.091E-05 9.764E-05 3.251E-04 2.083E+09 3.650E+06 8.903E+09 9.388E+08
  7.250E+05 4.124E-01 3.091E-05 9.764E-05 3.310E-04 2.053E+09 4.406E+06 7.279E+09 9.388E+08
  8.250E+05 5.138E-01 3.091E-05 9.764E-05 3.378E-04 2.019E+09 5.913E+06 5.704E+09 9.388E+08
  9.250E+05 6.893E-01 3.091E-05 9.764E-05 3.457E-04 1.982E+09 9.260E+06 4.137E+09 9.388E+08
  1.025E+06 1.041E+00 3.091E-05 9.764E-05 3.551E-04 1.938E+09 1.683E+07 2.656E+09 9.388E+08
  1.125E+06 1.812E+00 3.091E-05 9.764E-05 3.663E-04 1.885E+09 3.363E+07 1.474E+09 9.388E+08
  1.225E+06 3.471E+00 3.091E-05 9.764E-05 3.800E-04 1.821E+09 6.382E+07 7.404E+08 9.388E+08
  1.325E+06 6.360E+00 3.091E-05 9.764E-05 3.960E-04 1.751E+09 9.406E+07 3.870E+08 9.388E+08
  1.425E+06 9.960E+00 3.091E-05 9.764E-05 4.154E-04 1.670E+09 1.050E+08 2.356E+08 9.388E+08
  1.525E+06 1.339E+01 3.091E-05 9.764E-05 4.387E-04 1.577E+09 1.020E+08 1.663E+08 9.388E+08
  1.625E+06 1.615E+01 3.091E-05 9.764E-05 4.662E-04 1.481E+09 9.536E+07 1.301E+08 9.388E+08
  1.725E+06 1.823E+01 3.091E-05 9.764E-05 4.987E-04 1.381E+09 8.821E+07 1.081E+08 9.388E+08
  1.825E+06 1.972E+01 3.091E-05 9.764E-05 5.372E-04 1.277E+09 8.134E+07 9.318E+07 9.388E+08
  1.925E+06 2.070E+01 3.091E-05 9.764E-05 5.826E-04 1.173E+09 7.501E+07 8.218E+07 9.388E+08
  2.025E+06 2.128E+01 3.091E-05 9.764E-05 6.359E-04 1.071E+09 6.923E+07 7.358E+07 9.388E+08
  2.125E+06 2.151E+01 3.091E-05 9.764E-05 6.985E-04 9.715E+08 6.394E+07 6.653E+07 9.388E+08
  2.225E+06 2.148E+01 3.091E-05 9.764E-05 7.720E-04 8.759E+08 5.909E+07 6.057E+07 9.388E+08
  2.325E+06 2.122E+01 3.091E-05 9.764E-05 8.582E-04 7.852E+08 5.464E+07 5.539E+07 9.388E+08
  2.425E+06 2.081E+01 3.091E-05 9.764E-05 9.595E-04 6.992E+08 5.044E+07 5.081E+07 9.388E+08
  2.525E+06 2.027E+01 3.091E-05 9.764E-05 1.078E-03 6.193E+08 4.657E+07 4.672E+07 9.388E+08
  2.625E+06 1.962E+01 3.091E-05 9.764E-05 1.217E-03 5.460E+08 4.300E+07 4.305E+07 9.388E+08
  2.725E+06 1.889E+01 3.091E-05 9.764E-05 1.379E-03 4.794E+08 3.972E+07 3.972E+07 9.388E+08
  2.825E+06 1.824E+01 3.085E-05 9.757E-05 1.564E-03 4.195E+08 3.648E+07 3.648E+07 9.337E+08
  2.925E+06 1.760E+01 3.077E-05 9.748E-05 1.776E-03 3.662E+08 3.344E+07 3.344E+07 9.260E+08
  3.025E+06 1.693E+01 3.067E-05 9.736E-05 2.021E-03 3.188E+08 3.064E+07 3.064E+07 9.169E+08
  3.125E+06 1.624E+01 3.055E-05 9.723E-05 2.306E-03 2.769E+08 2.808E+07 2.808E+07 9.066E+08
  3.225E+06 1.564E+01 3.038E-05 9.702E-05 2.629E-03 2.401E+08 2.558E+07 2.558E+07 8.911E+08
  3.325E+06 1.507E+01 3.017E-05 9.675E-05 3.001E-03 2.078E+08 2.326E+07 2.326E+07 8.731E+08
  3.425E+06 1.448E+01 2.995E-05 9.646E-05 3.434E-03 1.793E+08 2.114E+07 2.114E+07 8.540E+08
  3.525E+06 1.388E+01 2.971E-05 9.613E-05 3.938E-03 1.544E+08 1.922E+07 1.921E+07 8.341E+08
  3.625E+06 1.324E+01 2.949E-05 9.580E-05 4.534E-03 1.325E+08 1.751E+07 1.751E+07 8.153E+08
  3.725E+06 1.259E+01 2.926E-05 9.545E-05 5.232E-03 1.135E+08 1.596E+07 1.596E+07 7.961E+08
  3.825E+06 1.197E+01 2.901E-05 9.505E-05 6.050E-03 9.706E+07 1.455E+07 1.455E+07 7.761E+08
  3.925E+06 1.136E+01 2.874E-05 9.461E-05 7.008E-03 8.282E+07 1.326E+07 1.326E+07 7.551E+08
  4.025E+06 1.066E+01 2.853E-05 9.422E-05 8.160E-03 7.058E+07 1.219E+07 1.219E+07 7.382E+08
  4.125E+06 9.981E+00 2.831E-05 9.383E-05 9.519E-03 6.012E+07 1.124E+07 1.124E+07 7.215E+08
  4.225E+06 9.352E+00 2.807E-05 9.337E-05 1.111E-02 5.119E+07 1.036E+07 1.036E+07 7.035E+08
  4.325E+06 8.777E+00 2.781E-05 9.285E-05 1.296E-02 4.359E+07 9.551E+06 9.550E+06 6.838E+08
  4.425E+06 8.136E+00 2.760E-05 9.240E-05 1.518E-02 3.719E+07 8.909E+06 8.909E+06 6.682E+08
  4.525E+06 7.541E+00 2.737E-05 9.192E-05 1.777E-02 3.179E+07 8.338E+06 8.338E+06 6.521E+08
  4.625E+06 7.024E+00 2.711E-05 9.133E-05 2.076E-02 2.724E+07 7.803E+06 7.802E+06 6.332E+08
  4.725E+06 6.579E+00 2.679E-05 9.059E-05 2.419E-02 2.341E+07 7.299E+06 7.299E+06 6.113E+08
  4.825E+06 6.137E+00 2.648E-05 8.982E-05 2.818E-02 2.020E+07 6.885E+06 6.885E+06 5.902E+08
  4.925E+06 5.756E+00 2.612E-05 8.890E-05 3.272E-02 1.751E+07 6.506E+06 6.506E+06 5.665E+08
  5.025E+06 5.449E+00 2.569E-05 8.775E-05 3.785E-02 1.524E+07 6.146E+06 6.146E+06 5.393E+08
  5.125E+06 5.212E+00 2.519E-05 8.631E-05 4.362E-02 1.331E+07 5.807E+06 5.807E+06 5.084E+08
  5.225E+06 5.047E+00 2.461E-05 8.452E-05 5.010E-02 1.166E+07 5.488E+06 5.488E+06 4.740E+08
  5.325E+06 4.955E+00 2.394E-05 8.229E-05 5.738E-02 1.025E+07 5.190E+06 5.190E+06 4.361E+08
  5.425E+06 4.948E+00 2.316E-05 7.952E-05 6.559E-02 9.018E+06 4.911E+06 4.911E+06 3.947E+08
  5.525E+06 5.046E+00 2.225E-05 7.603E-05 7.494E-02 7.942E+06 4.651E+06 4.651E+06 3.500E+08
  5.625E+06 5.407E+00 2.107E-05 7.115E-05 8.565E-02 6.940E+06 4.344E+06 4.343E+06 2.974E+08
  5.725E+06 6.083E+00 1.963E-05 6.467E-05 9.876E-02 5.998E+06 4.044E+06 4.044E+06 2.404E+08
  5.825E+06 7.314E+00 1.785E-05 5.619E-05 1.162E-01 5.081E+06 3.770E+06 3.770E+06 1.810E+08
  5.925E+06 9.828E+00 1.561E-05 4.508E-05 1.423E-01 4.133E+06 3.516E+06 3.516E+06 1.209E+08
  6.025E+06 3.563E+02 4.438E-06 4.438E-06 3.974E-01 1.498E+06 3.386E+06 1.498E+06 2.779E+06
  6.125E+06 3.834E+02 3.911E-06 3.911E-06 4.115E-01 1.471E+06 3.288E+06 1.471E+06 1.902E+06
  6.225E+06 4.158E+02 3.516E-06 3.516E-06 4.335E-01 1.419E+06 3.192E+06 1.419E+06 1.382E+06
  6.325E+06 4.537E+02 3.210E-06 3.210E-06 4.629E-01 1.350E+06 3.101E+06 1.350E+06 1.052E+06
  6.425E+06 5.095E+02 2.954E-06 2.954E-06 4.977E-01 1.254E+06 2.916E+06 1.254E+06 8.197E+05
  6.525E+06 5.782E+02 2.730E-06 2.730E-06 5.378E-01 1.153E+06 2.724E+06 1.153E+06 6.467E+05
  6.625E+06 6.577E+02 2.530E-06 2.529E-06 5.834E-01 1.057E+06 2.546E+06 1.057E+06 5.146E+05
  6.725E+06 7.495E+02 2.348E-06 2.348E-06 6.344E-01 9.655E+05 2.366E+06 9.654E+05 4.113E+05
  6.825E+06 8.553E+02 2.180E-06 2.180E-06 6.909E-01 8.808E+05 2.172E+06 8.808E+05 3.294E+05
  6.925E+06 9.770E+02 2.024E-06 2.024E-06 7.533E-01 8.027E+05 1.976E+06 8.027E+05 2.638E+05
  7.025E+06 1.117E+03 1.879E-06 1.879E-06 8.219E-01 7.310E+05 1.793E+06 7.309E+05 2.110E+05
  7.125E+06 1.279E+03 1.744E-06 1.744E-06 8.973E-01 6.652E+05 1.634E+06 6.651E+05 1.687E+05
  7.225E+06 1.465E+03 1.618E-06 1.618E-06 9.803E-01 6.049E+05 1.499E+06 6.048E+05 1.346E+05
  7.325E+06 1.679E+03 1.500E-06 1.500E-06 1.072E+00 5.496E+05 1.389E+06 5.496E+05 1.074E+05
  7.425E+06 1.927E+03 1.391E-06 1.391E-06 1.173E+00 4.989E+05 1.301E+06 4.989E+05 8.559E+04
  7.525E+06 2.215E+03 1.289E-06 1.289E-06 1.284E+00 4.526E+05 1.234E+06 4.525E+05 6.816E+04
  7.625E+06 2.547E+03 1.195E-06 1.195E-06 1.408E+00 4.101E+05 1.186E+06 4.101E+05 5.424E+04
  7.725E+06 2.933E+03 1.107E-06 1.107E-06 1.544E+00 3.713E+05 1.154E+06 3.713E+05 4.313E+04
  7.825E+06 3.380E+03 1.025E-06 1.025E-06 1.695E+00 3.360E+05 1.138E+06 3.359E+05 3.425E+04
  7.925E+06 3.899E+03 9.488E-07 9.488E-07 1.862E+00 3.037E+05 1.135E+06 3.037E+05 2.716E+04
  8.025E+06 4.502E+03 8.774E-07 8.774E-07 2.046E+00 2.745E+05 1.144E+06 2.745E+05 2.148E+04
  8.125E+06 5.201E+03 8.104E-07 8.104E-07 2.249E+00 2.481E+05 1.164E+06 2.481E+05 1.692E+04
